               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03572,            0.032911,            0.013576,             0.76654,             0.41628,             0.45497,             0.27708,            0.033636,            0.037009,            0.019088,            0.007624,            0.007624,            0.007624
                  38,            0.035815,            0.032957,            0.013174,             0.73371,             0.43181,             0.46357,             0.28985,            0.033017,            0.036189,            0.019818,            0.007558,            0.007558,            0.007558
                  39,            0.035039,            0.033481,            0.012935,             0.75647,             0.43716,             0.46831,               0.289,            0.032781,            0.036021,            0.019534,            0.007492,            0.007492,            0.007492
                  40,            0.035416,            0.033575,            0.012945,             0.74221,             0.43797,             0.46903,             0.29172,            0.032697,            0.036247,            0.019888,            0.007426,            0.007426,            0.007426
                  41,            0.034787,            0.032955,            0.012587,             0.75884,             0.44075,             0.51716,             0.32145,            0.032424,            0.036045,            0.019158,             0.00736,             0.00736,             0.00736
                  42,            0.035011,            0.033014,            0.012479,             0.75843,             0.44582,             0.47189,             0.29946,            0.032155,            0.036015,             0.01885,            0.007294,            0.007294,            0.007294
                  43,            0.034541,            0.033379,            0.012293,             0.74754,             0.45601,             0.46699,             0.29646,            0.032249,            0.036114,            0.019289,            0.007228,            0.007228,            0.007228
                  44,            0.034408,            0.032529,            0.012028,             0.78603,             0.42176,             0.48155,               0.305,             0.03254,            0.036048,            0.019154,            0.007162,            0.007162,            0.007162
                  45,            0.034424,              0.0322,            0.012124,             0.75018,             0.43828,             0.48568,             0.30207,            0.032658,            0.035955,            0.019838,            0.007096,            0.007096,            0.007096
                  46,             0.03429,            0.032321,            0.011718,             0.74731,             0.46545,             0.49796,             0.30855,             0.03208,            0.035921,            0.019157,             0.00703,             0.00703,             0.00703
                  47,            0.034054,            0.032482,            0.011736,             0.82056,             0.42883,             0.52458,             0.32191,            0.032064,            0.036091,            0.018819,            0.006964,            0.006964,            0.006964
                  48,             0.03411,            0.031942,             0.01153,             0.76475,             0.44252,             0.52537,             0.32614,            0.032043,            0.035791,            0.018341,            0.006898,            0.006898,            0.006898
                  49,            0.033898,             0.03244,            0.011253,             0.77775,             0.43919,             0.49998,              0.3102,            0.032269,            0.036252,            0.018402,            0.006832,            0.006832,            0.006832
                  50,            0.033859,            0.031422,            0.010962,             0.79855,             0.43573,             0.49689,             0.30915,            0.032146,            0.035932,            0.018862,            0.006766,            0.006766,            0.006766
                  51,            0.033497,            0.031286,            0.011037,             0.79738,             0.43112,             0.52108,             0.32943,             0.03157,            0.036179,            0.019016,              0.0067,              0.0067,              0.0067
                  52,            0.033424,            0.031493,            0.011113,              0.7979,             0.42519,             0.52154,             0.32108,            0.031835,            0.036443,            0.019025,            0.006634,            0.006634,            0.006634
                  53,            0.033019,             0.03225,            0.010765,             0.79207,             0.45134,             0.53114,             0.32903,            0.031387,            0.036017,            0.018917,            0.006568,            0.006568,            0.006568
                  54,            0.033007,            0.030984,            0.010591,             0.77817,             0.45196,             0.53104,             0.32585,            0.031573,            0.035929,            0.019084,            0.006502,            0.006502,            0.006502
                  55,            0.032694,            0.030866,             0.01034,             0.78498,             0.45607,              0.5385,             0.33893,            0.031344,             0.03583,            0.018161,            0.006436,            0.006436,            0.006436
                  56,            0.032632,            0.031027,            0.010424,             0.79241,             0.45471,             0.53283,               0.328,            0.031392,             0.03605,            0.019379,             0.00637,             0.00637,             0.00637
                  57,            0.032527,            0.030601,            0.010205,             0.79403,             0.44592,               0.523,             0.32364,            0.031224,            0.035948,            0.018198,            0.006304,            0.006304,            0.006304
                  58,            0.032685,            0.030891,            0.010079,             0.76354,             0.45706,              0.5091,             0.32002,            0.031687,            0.036162,            0.018623,            0.006238,            0.006238,            0.006238
                  59,             0.03237,             0.03081,           0.0099373,             0.80084,               0.448,             0.53954,             0.34362,            0.031442,            0.035944,            0.018727,            0.006172,            0.006172,            0.006172
                  60,            0.032106,            0.030252,           0.0099073,             0.80689,             0.45059,             0.53865,             0.34912,            0.031464,            0.035889,            0.018893,            0.006106,            0.006106,            0.006106
                  61,            0.032115,            0.030644,           0.0096849,             0.79776,             0.44735,             0.51827,             0.32981,            0.031458,            0.035961,            0.019337,             0.00604,             0.00604,             0.00604
                  62,            0.031731,            0.030369,           0.0096528,             0.78941,              0.4691,             0.51736,             0.32772,            0.031313,            0.036477,            0.019555,            0.005974,            0.005974,            0.005974
                  63,             0.03128,            0.029372,           0.0093721,             0.80757,             0.44526,             0.53883,             0.33394,             0.03155,            0.036306,            0.018061,            0.005908,            0.005908,            0.005908
                  64,            0.031606,            0.029469,           0.0092503,             0.78246,             0.46062,             0.52036,             0.32768,            0.031598,              0.0368,            0.019504,            0.005842,            0.005842,            0.005842
                  65,            0.031682,            0.030206,           0.0095378,              0.8018,             0.45162,             0.54246,              0.3466,            0.031037,             0.03645,            0.019511,            0.005776,            0.005776,            0.005776
                  66,            0.031776,            0.030061,           0.0095094,             0.81828,             0.44543,             0.54425,             0.34557,            0.031092,            0.036636,            0.018702,             0.00571,             0.00571,             0.00571
                  67,            0.031202,            0.029662,           0.0092103,             0.77287,             0.47218,             0.51383,             0.33079,            0.030814,            0.035999,            0.019042,            0.005644,            0.005644,            0.005644
                  68,            0.030972,            0.030124,           0.0089136,             0.80623,             0.44742,             0.53765,             0.34481,            0.030916,             0.03634,            0.019738,            0.005578,            0.005578,            0.005578
                  69,            0.030795,            0.028299,           0.0087776,              0.7515,              0.4709,             0.53258,             0.33806,            0.030707,            0.036106,            0.018968,            0.005512,            0.005512,            0.005512
                  70,            0.030893,            0.029809,           0.0088762,             0.79624,             0.46288,             0.55123,             0.35795,            0.030923,            0.036241,            0.018911,            0.005446,            0.005446,            0.005446
                  71,            0.030288,            0.028848,           0.0085854,             0.78407,             0.45853,             0.51665,             0.32719,            0.030665,            0.036093,            0.019099,             0.00538,             0.00538,             0.00538
                  72,             0.03055,            0.029392,           0.0089257,             0.63111,             0.54193,             0.54518,             0.34856,            0.030764,            0.036758,            0.019349,            0.005314,            0.005314,            0.005314
                  73,            0.030503,            0.029268,           0.0087119,             0.65776,             0.54348,             0.55778,             0.35015,            0.030328,            0.035971,            0.018849,            0.005248,            0.005248,            0.005248
                  74,            0.030383,            0.029447,           0.0085708,             0.71104,               0.545,             0.53861,             0.33796,            0.030483,            0.035948,            0.019018,            0.005182,            0.005182,            0.005182
                  75,            0.030141,            0.028857,            0.008409,              0.6738,             0.55774,             0.54876,              0.3459,             0.03058,            0.035992,            0.019408,            0.005116,            0.005116,            0.005116
                  76,            0.030306,            0.028847,           0.0084872,             0.69623,             0.52722,             0.54965,             0.34287,            0.030655,            0.036288,            0.019286,             0.00505,             0.00505,             0.00505
                  77,            0.029705,            0.028797,           0.0081565,             0.65226,             0.53374,             0.55012,             0.34979,            0.030501,            0.036093,            0.018582,            0.004984,            0.004984,            0.004984
                  78,            0.029738,            0.028718,           0.0081454,              0.7403,             0.53655,             0.55679,             0.35039,            0.030549,            0.036188,            0.018791,            0.004918,            0.004918,            0.004918
                  79,            0.029655,            0.028601,           0.0080408,             0.79009,             0.50739,             0.55471,               0.354,            0.030695,            0.036564,             0.01875,            0.004852,            0.004852,            0.004852
                  80,            0.029702,            0.027563,           0.0079084,              0.8095,             0.51095,             0.56013,             0.35372,            0.030492,            0.036463,            0.018949,            0.004786,            0.004786,            0.004786
                  81,            0.029087,            0.028554,            0.007823,              0.8001,             0.51876,              0.5611,             0.35087,            0.030473,            0.036286,            0.019056,             0.00472,             0.00472,             0.00472
                  82,            0.029617,            0.027559,           0.0079424,             0.77751,              0.5233,             0.56106,             0.35866,            0.030396,             0.03607,            0.019253,            0.004654,            0.004654,            0.004654
                  83,            0.029422,            0.028104,           0.0079329,             0.81673,             0.50174,             0.56181,             0.36242,            0.030133,            0.036125,            0.018611,            0.004588,            0.004588,            0.004588
                  84,            0.029035,            0.027762,           0.0078299,             0.81528,             0.51112,             0.56117,              0.3576,             0.03025,            0.036213,            0.019115,            0.004522,            0.004522,            0.004522
                  85,            0.028734,            0.028047,           0.0076234,             0.80464,             0.50256,             0.55513,             0.34966,            0.030288,            0.036178,             0.01889,            0.004456,            0.004456,            0.004456
                  86,            0.028834,            0.028013,           0.0075957,             0.81685,             0.48289,             0.56028,             0.35951,            0.030052,            0.036195,            0.018619,             0.00439,             0.00439,             0.00439
                  87,             0.02919,            0.028348,           0.0077171,             0.80245,             0.50602,             0.56119,             0.35813,            0.030187,            0.036434,            0.019414,            0.004324,            0.004324,            0.004324
                  88,            0.028718,            0.027711,           0.0074115,             0.81252,             0.49055,             0.54974,             0.34492,            0.030324,            0.036529,            0.018481,            0.004258,            0.004258,            0.004258
                  89,            0.028963,            0.027625,           0.0077921,             0.81782,             0.49758,             0.56187,             0.35617,            0.030294,            0.036205,            0.018635,            0.004192,            0.004192,            0.004192
                  90,            0.028342,            0.027283,           0.0073723,             0.81965,             0.49287,             0.55199,             0.35308,            0.030423,            0.036379,             0.01853,            0.004126,            0.004126,            0.004126
                  91,            0.028614,            0.027798,           0.0073264,             0.83416,             0.47947,             0.56079,             0.36494,            0.030089,            0.036176,            0.018448,             0.00406,             0.00406,             0.00406
                  92,            0.028236,            0.027469,           0.0074083,             0.81866,              0.4951,             0.56874,             0.36553,            0.030213,            0.036352,            0.018513,            0.003994,            0.003994,            0.003994
                  93,             0.02827,            0.027529,           0.0073771,             0.71326,             0.55591,             0.56412,             0.36627,            0.030262,            0.036124,            0.018944,            0.003928,            0.003928,            0.003928
                  94,            0.028142,            0.027273,           0.0070204,             0.79495,             0.50833,             0.56399,             0.36367,            0.029829,            0.035845,            0.019337,            0.003862,            0.003862,            0.003862
                  95,            0.027955,            0.027423,           0.0069638,             0.76778,             0.50255,             0.56697,               0.372,            0.029897,            0.036559,            0.019062,            0.003796,            0.003796,            0.003796
                  96,            0.028041,            0.027764,           0.0070867,             0.75684,             0.51018,             0.57194,             0.37261,            0.029943,            0.036531,             0.01852,             0.00373,             0.00373,             0.00373
                  97,             0.02769,            0.026403,            0.007029,             0.80582,             0.52203,             0.57118,             0.37821,            0.029933,            0.036667,            0.018315,            0.003664,            0.003664,            0.003664
                  98,            0.027739,             0.02745,           0.0069043,             0.76524,             0.51255,             0.56649,             0.37361,            0.029793,            0.036275,            0.019077,            0.003598,            0.003598,            0.003598
                  99,            0.027591,            0.026986,           0.0068583,             0.83251,             0.49876,             0.56369,             0.36959,            0.029908,            0.036577,            0.019521,            0.003532,            0.003532,            0.003532
                 100,            0.027417,            0.026489,           0.0069232,              0.7914,             0.51943,             0.55771,             0.36869,            0.029767,            0.036661,            0.019106,            0.003466,            0.003466,            0.003466
                 101,            0.027492,            0.026807,           0.0069421,             0.82565,             0.50147,             0.56396,             0.37282,            0.029712,            0.036538,             0.01891,              0.0034,              0.0034,              0.0034
                 102,            0.027414,            0.026608,           0.0067245,             0.84065,             0.47984,             0.56468,             0.37079,            0.029577,            0.036611,            0.018776,            0.003334,            0.003334,            0.003334
                 103,            0.027109,            0.025994,           0.0068879,             0.81787,              0.5001,             0.56775,             0.37629,            0.029766,            0.036691,            0.018966,            0.003268,            0.003268,            0.003268
                 104,            0.026949,            0.026409,           0.0066843,             0.82662,              0.4966,             0.55998,             0.36533,            0.029436,            0.036332,            0.019451,            0.003202,            0.003202,            0.003202
                 105,            0.026867,             0.02636,           0.0066535,             0.80798,             0.51262,             0.57003,             0.36723,            0.029622,            0.036793,             0.01922,            0.003136,            0.003136,            0.003136
                 106,            0.027038,            0.026225,           0.0066091,              0.8381,             0.50281,             0.57116,             0.37494,            0.029545,            0.036718,            0.018454,             0.00307,             0.00307,             0.00307
                 107,            0.026698,            0.025911,           0.0064652,             0.75233,             0.52393,             0.56739,             0.37282,            0.029546,            0.036853,            0.019075,            0.003004,            0.003004,            0.003004
                 108,            0.026692,            0.026243,           0.0066243,             0.67143,             0.54445,             0.56018,             0.36607,            0.029527,            0.036862,             0.01946,            0.002938,            0.002938,            0.002938
